dimension,vertices,edges,max_mv_size,search_limit,timestamp
3,9,18,6,9,2025-07-14T22:55:23.042602
4,16,32,9,12,2025-07-14T22:55:23.513112
5,25,50,10,15,2025-07-14T23:01:44.517346
